=== TCP1 - Processing Speed Tracker - Domino Samples ===
Rolling Type	Sample	Parameters#	Regime	LapsedTime
Domino	20	8 + 2 VPlot	05hz	18.89
Domino	20	8 + 2 VPlot	05hz	6.724
Domino	20	8 + 2 VPlot	05hz	16.308
Domino	20	8 + 2 VPlot	05hz	9.366
Domino	20	8 + 2 VPlot	05hz	9.276
Domino	20	8 + 2 VPlot	05hz	5.627
Domino	20	8 + 2 VPlot	05hz	9.659
Domino	20	8 + 2 VPlot	05hz	9.539
Domino	20	8 + 2 VPlot	05hz	10.109
Domino	20	8 + 2 VPlot	05hz	9.046
Domino	20	8 + 2 VPlot	05hz	18.143
Domino	20	8 + 2 VPlot	05hz	0.772
Domino	20	8 + 2 VPlot	05hz	3.769
Domino	20	8 + 2 VPlot	05hz	1.702
Domino	20	8 + 2 VPlot	05hz	1.026
Domino	20	8 + 2 VPlot	05hz	1.359
Domino	20	8 + 2 VPlot	05hz	3.57
Domino	20	8 + 2 VPlot	05hz	7.108
Domino	20	8 + 2 VPlot	05hz	4.969
Domino	20	8 + 2 VPlot	05hz	4.621
Domino	20	8 + 2 VPlot	05hz	5.558
Domino	20	8 + 2 VPlot	05hz	4.519
Domino	20	8 + 2 VPlot	05hz	8.05
Domino	20	8 + 2 VPlot	05hz	6.24
Domino	20	8 + 2 VPlot	05hz	9.226
Domino	20	8 + 2 VPlot	05hz	0.912
Domino	20	8 + 2 VPlot	05hz	0.821
Domino	20	8 + 2 VPlot	05hz	0.781
Domino	20	8 + 2 VPlot	05hz	0.53
Domino	20	8 + 2 VPlot	05hz	0.797
Domino	20	8 + 2 VPlot	05hz	6.531
Domino	20	8 + 2 VPlot	05hz	3.899
Domino	20	8 + 2 VPlot	05hz	5.282
Domino	20	8 + 2 VPlot	05hz	4.68
Domino	20	8 + 2 VPlot	05hz	4.141
Domino	20	8 + 2 VPlot	05hz	6.815
Domino	20	8 + 2 VPlot	05hz	2.218
Domino	20	8 + 2 VPlot	05hz	2.19
Domino	20	8 + 2 VPlot	05hz	2.861
Domino	20	8 + 2 VPlot	05hz	9.23
Domino	20	8 + 2 VPlot	05hz	3.571
Domino	20	8 + 2 VPlot	05hz	5.658
Domino	20	8 + 2 VPlot	05hz	2.827
Domino	20	8 + 2 VPlot	05hz	3.209
Domino	20	8 + 2 VPlot	05hz	2.088
Domino	20	8 + 2 VPlot	05hz	7.956
Domino	20	8 + 2 VPlot	05hz	3.257
Domino	20	8 + 2 VPlot	05hz	13.944
Domino	20	8 + 2 VPlot	05hz	2.71
Domino	20	8 + 2 VPlot	05hz	7.093
Domino	20	8 + 2 VPlot	05hz	2.973
Domino	20	8 + 2 VPlot	05hz	3.3
Domino	20	8 + 2 VPlot	05hz	5.678
Domino	20	8 + 2 VPlot	05hz	3.054
Domino	20	8 + 2 VPlot	05hz	3.7
Domino	20	8 + 2 VPlot	05hz	5.205
Domino	20	8 + 2 VPlot	05hz	2.492
Domino	20	8 + 2 VPlot	05hz	3.81
Domino	20	8 + 2 VPlot	05hz	3.45
Domino	20	8 + 2 VPlot	05hz	5.65
Domino	20	8 + 2 VPlot	05hz	2.586
Domino	20	8 + 2 VPlot	05hz	2.141
Domino	20	8 + 2 VPlot	05hz	2.813
Domino	20	8 + 2 VPlot	05hz	2.871
Domino	20	8 + 2 VPlot	05hz	1.424
Domino	20	8 + 2 VPlot	05hz	6.329
Domino	20	8 + 2 VPlot	05hz	2.762
Domino	20	8 + 2 VPlot	05hz	4.211
Domino	20	8 + 2 VPlot	05hz	6.786
Domino	20	8 + 2 VPlot	05hz	2.727
Domino	20	8 + 2 VPlot	05hz	3.38
Domino	20	8 + 2 VPlot	05hz	13.09
